"","InitialInterestRate","ppp_treated","agriculture","mining","utilities","construction","manufacturing","wholesale_trade","retail_trade","transport_ware","information","finance_ins","real_estate","professional","admin_support","education","healthcare","arts_entertain","accommodation","other_services","public_admin","age_established","age_new","age_startup","age_changed_owner","processing_plp","processing_express","processing_7a_general","collateral","commit","pif","charge_off","cancelled","has_franchise","west","northeast","midwest","pct_black","pct_native","pct_asian","pct_pacific","pct_other","pct_multiracial","approval_month_index","regional_bank","community_bank","fintech","cdfi","other_institution","LMIIndicator","Race","ApprovalYearMonth","JobsSupported","GrossApproval","race_black","race_asian","race_native","race_white","race_unanswered","race_multi","race_pacific","race_puerto_rican","hispanic","not_hispanic","ethnicity_unanswered","log_approval_amount","zip_code"
"38714",9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.77150134170191,0.0682221312593805,0.570791831536817,0.0409332787556283,1.14385773411561,1.90794560422068,31,1,0,0,0,0,"N","White","2022-11",2,150000,0,0,0,1,0,0,0,0,1,0,0,11.9183905730784,"30506"
"38716",5.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2.11736237144586,0.0604960677555959,2.09719701552732,0,1.65355918531962,2.20810647307925,22,0,1,0,0,0,"N","White","2022-02",5,34000,0,0,0,1,0,0,0,0,0,1,0,10.4341158035983,"55042"
"38719",5.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.68882864888001,0.773291482379797,1.06149236695677,0.0256812669425025,0.54786702810672,4.58838636039378,10,0,0,0,0,0,"N","White","2021-02",2,42000,0,0,0,1,0,0,0,0,0,1,0,10.6454248972655,"49441"
"38725",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,23.176532769556,0.256720024161885,5.47417698580489,0.166112956810631,23.4974327997584,6.42555119299305,25,0,0,1,0,0,"N","Unanswered","2022-05",27,3450000,0,0,0,0,1,0,0,0,0,1,0,15.0538847890075,"77061"
"38730",8.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,6.28909153537954,4.57042368425823,1.83832194202215,0.739679834659802,10.4334741383999,8.55526749941079,31,0,1,0,0,0,"N","Unanswered","2022-11",2,1128700,0,0,0,0,1,0,0,0,0,0,1,13.9365770859437,"85201"
"38735",10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.798168906625976,0,2.33581782968484,0,0.686660015259111,5.01790011150889,43,0,1,0,0,0,"N","Unanswered","2023-11",11,1281500,0,0,0,0,1,0,0,0,0,0,1,14.0635418247863,"55398"
"38750",10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,19.6957463986742,0.395189733565631,5.41792376662559,0,0.849870394764798,4.18136234224281,34,0,0,0,0,0,"N","Unanswered","2023-02",6,431400,0,0,0,0,1,0,0,0,0,0,1,12.9747910129372,"48185"
"38758",5.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.672747533946923,0.276528127450576,1.28358578562879,0.0206364274216848,2.03062445829378,4.76288744892484,10,1,0,0,0,0,"N","Unanswered","2021-02",16,100000,0,0,0,0,1,0,0,0,0,0,1,11.5129254649702,"84032"
"38764",8.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.52373022481266,0.228975853455454,1.9608659450458,0.203996669442132,0.845129059117402,3.30141548709409,38,0,1,0,0,0,"Y","White","2023-06",5,32200,0,0,0,1,0,0,0,0,0,1,0,10.3797217315325,"67601"
"38765",8.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.52373022481266,0.228975853455454,1.9608659450458,0.203996669442132,0.845129059117402,3.30141548709409,38,0,1,0,0,0,"N","White","2023-06",5,32200,0,0,0,1,0,0,0,0,0,1,0,10.3797217315325,"67601"
